business,requested,achieved,avg_lat_ms,total_kbps,read_kbps,write_kbps,run_sec,clients,procs,avg_file_kb,cl_data_mib,start_data_mib,init_file_mib,max_file_mib,workload,valid
1000,450000.00,450026.116,0.309,7263290.330,3813090.198,3450220.132,300,10,500,3424,1105156,11051562,11051562,12056250,EDA_BLENDED,
1125,506250.00,506277.945,0.468,8168435.245,4288380.017,3880055.228,300,10,562,3424,1243300,12433007,12433007,13563281,EDA_BLENDED,
1250,562500.00,562532.258,0.469,9075202.689,4763969.800,4311232.889,300,10,625,3424,1381445,13814534,13814534,15070312,EDA_BLENDED,
1375,618750.00,618785.258,0.733,9986026.449,5242029.062,4743997.387,300,10,687,3424,1519589,15195898,15195898,16577343,EDA_BLENDED,
1500,675000.00,675037.924,0.775,10891593.714,5718346.507,5173247.207,300,10,750,3424,1657734,16577343,16577343,18084375,EDA_BLENDED,
1625,731250.00,731283.331,0.495,11799129.796,6195753.762,5603376.034,300,10,812,3424,1795878,17958789,17958789,19591406,EDA_BLENDED,
1750,787500.00,787544.550,0.605,12709740.505,6672603.997,6037136.508,300,10,875,3424,1934023,19340234,19340234,21098437,EDA_BLENDED,
1875,843750.00,843795.101,0.524,13611765.869,7146931.208,6464834.662,300,10,937,3424,2072167,20721679,20721679,22605468,EDA_BLENDED,
2000,900000.00,900049.534,0.866,14523694.073,7626047.413,6897646.660,300,10,1000,3424,2210312,22103125,22103125,24112500,EDA_BLENDED,
2125,956250.00,956081.404,1.661,15424926.340,8097976.243,7326950.098,300,10,1062,3424,2348457,23484570,23484570,25619531,EDA_BLENDED,
2250,1012500.00,1012120.956,2.609,16329129.130,8573818.168,7755310.962,300,10,1125,3424,2486601,24866015,24866015,27126562,EDA_BLENDED,
2375,1068750.00,1068057.114,4.039,17231938.550,9046505.843,8185432.706,300,10,1187,3424,2624746,26247460,26247460,28633593,EDA_BLENDED,
2500,1125000.00,1124167.179,5.504,18138197.649,9522435.100,8615762.550,300,10,1250,3424,2762890,27628906,27628906,30140625,EDA_BLENDED,
2625,1181250.00,1162285.039,7.864,18463450.704,9748688.522,8714762.182,300,10,1312,3424,2901035,29010351,29010351,31647656,EDA_BLENDED,
2750,1237500.00,1192616.258,9.826,18544723.342,9869774.621,8674948.721,300,10,1375,3424,3039179,30391796,30391796,33154687,EDA_BLENDED,INVALID_RUN
